Customer ID,Recency,Frequency,Monetary,Total_Quantity,Unique_Products,Average_Order_Value,Cluster
12855.0,373,4,612.84,240,65,153.21,0
12856.0,8,6,2170.78,1076,155,361.7966666666667,1
12857.0,211,6,3688.0,1420,71,614.6666666666666,1
12858.0,383,1,147.27,51,36,147.27,0
12859.0,459,1,575.1,292,21,575.1,0
12860.0,693,1,54.22,26,16,54.22,0
12861.0,620,1,68.25,27,4,68.25,0
12862.0,426,2,984.62,611,119,492.31,1
12863.0,52,6,2792.55,895,24,465.425,1
12864.0,138,2,299.57,447,5,149.785,0
12867.0,26,13,7829.26,7876,365,602.2507692307693,1
12868.0,186,8,2043.76,1170,86,255.47,1
12869.0,682,1,337.67,144,35,337.67,0
12870.0,375,3,1676.95,906,85,558.9833333333333,1
12871.0,84,3,744.02,484,13,248.00666666666663,0
12872.0,327,12,3283.96,1642,217,273.66333333333336,1
12873.0,282,3,2027.3,786,33,675.7666666666667,1
12875.0,143,5,1356.99,5187,2,271.398,1
12877.0,4,20,2942.14,2237,149,147.107,1
12878.0,236,2,854.99,547,38,427.495,0
12879.0,45,3,573.22,370,7,191.07333333333332,0
12880.0,382,2,640.13,279,32,320.065,0
12881.0,276,1,298.0,21,7,298.0,0
12882.0,9,2,1463.04,246,12,731.52,0
12883.0,25,4,703.47,196,39,175.8675,0
12884.0,88,1,309.05,43,7,309.05,0
12885.0,63,3,1175.22,655,66,391.74,1
12886.0,68,2,1378.4,770,75,689.2,1
12887.0,384,1,222.4,100,13,222.4,0
12888.0,214,2,354.12,76,4,177.06,0
12889.0,381,4,385.46,124,25,96.365,0
12890.0,24,2,706.02,457,124,353.01,1
12891.0,186,11,840.5,2325,2,76.4090909090909,0
12892.0,397,1,263.38,140,18,263.38,0
12893.0,31,1,176.55,90,27,176.55,0
12894.0,575,1,157.35,33,21,157.35,0
12895.0,42,2,372.8,210,22,186.4,0
12897.0,205,4,514.25,249,10,128.5625,0
12898.0,464,2,296.21000000000004,235,27,148.10500000000002,0
12899.0,414,1,366.4,108,17,366.4,0
12900.0,422,1,340.33,139,13,340.33,0
12901.0,9,28,17654.54,23075,30,630.5192857142857,1
12902.0,265,1,138.68,66,10,138.68,0
12903.0,429,1,833.53,493,41,833.53,0
12904.0,18,2,496.06,294,59,248.03,0
12905.0,577,2,1018.42,532,52,509.21,0
12906.0,12,5,2919.81,1749,55,583.962,1
12907.0,396,2,508.91,177,23,254.455,0
12908.0,176,5,1776.0,3000,1,355.2,1
12909.0,40,8,3103.19,1948,120,387.89875,1
12910.0,23,13,5796.52,3632,75,445.8861538461539,1
12911.0,552,1,1651.72,807,220,1651.72,1
12912.0,3,5,1662.3,670,17,332.46,1
12913.0,5,13,6283.24,3086,52,483.3261538461538,1
12914.0,401,1,223.98,336,9,223.98,0
12915.0,149,4,975.1,411,46,243.775,1
12916.0,139,7,4479.73,1681,82,639.9614285714285,1
12917.0,128,6,4359.2,1104,45,726.5333333333333,1
12918.0,626,1,10953.5,1,1,10953.5,0
12919.0,8,6,1335.19,673,34,222.53166666666667,1
12920.0,17,4,486.64,420,59,121.66,0
12921.0,9,74,35233.24,21328,322,476.1248648648648,1
12922.0,161,1,405.38,370,28,405.38,0
12923.0,64,3,770.42,230,54,256.8066666666667,0
12924.0,88,12,2469.4,1423,56,205.78333333333333,1
12925.0,5,3,729.3299999999999,649,46,243.11,1
12926.0,411,4,1523.97,754,202,380.9925,1
12927.0,395,1,197.31,145,11,197.31,0
12928.0,35,12,4304.89,2899,94,358.74083333333334,1
12929.0,312,1,117.85,37,8,117.85,0
12930.0,78,2,415.8,252,20,207.9,0
12931.0,22,57,92347.34,62906,37,1620.1287719298246,1
12932.0,539,8,1698.56,1609,69,212.32,1
12933.0,24,8,1636.63,949,227,204.57875,1
12934.0,737,1,181.65,31,2,181.65,0
12935.0,2,15,4243.86,3201,113,282.924,1
12936.0,17,4,1063.9,559,56,265.975,1
12937.0,15,9,3097.61,1983,128,344.1788888888889,1
12938.0,26,1,114.14,140,9,114.14,0
12939.0,64,20,25264.8,10328,24,1263.24,1
12940.0,55,2,899.69,404,87,449.845,1
12941.0,724,1,377.49,381,27,377.49,0
12942.0,131,3,675.6,198,68,225.2,0
12943.0,558,2,496.5,222,22,248.25,0
12944.0,36,2,604.51,289,29,302.255,0
12945.0,288,2,900.11,446,47,450.055,0
12946.0,437,1,324.45,149,20,324.45,0
12947.0,144,6,1603.99,1165,83,267.33166666666665,1
12948.0,16,9,2317.43,1304,89,257.4922222222222,1
12949.0,31,22,15526.7,8233,347,705.7590909090909,1
12950.0,2,3,1843.0,1380,13,614.3333333333334,1
12951.0,9,15,3213.7200000000003,1662,110,214.248,1
12952.0,6,4,1387.79,653,64,346.9475,1
12953.0,10,2,828.8100000000001,364,45,414.405,1
12954.0,639,1,162.45,83,10,162.45,0
12955.0,1,11,4757.16,3664,81,432.4690909090909,1
12956.0,306,4,521.89,340,42,130.4725,0
12957.0,10,13,8706.97,4686,402,669.766923076923,1
12958.0,400,2,467.34,118,45,233.67,0
12959.0,484,1,150.95,109,8,150.95,0
12960.0,414,4,1322.07,1379,49,330.5175,1
12961.0,379,1,211.99,180,37,211.99,0
12962.0,7,2,266.39,129,15,133.195,0
12963.0,8,12,3235.79,1637,129,269.64916666666664,1
12964.0,437,1,132.24,56,26,132.24,0
12965.0,89,1,769.8100000000001,282,108,769.8100000000001,1
12966.0,10,1,160.18,75,10,160.18,0
12967.0,358,3,2938.52,912,47,979.5066666666668,1
12968.0,112,1,135.95,73,5,135.95,0
12969.0,603,1,122.45,55,5,122.45,0
12970.0,7,10,1453.6,954,280,145.36,1
12971.0,4,116,15704.6,14306,102,135.3844827586207,1
12972.0,414,4,1161.2,844,69,290.3,1
12973.0,414,1,385.55,31,6,385.55,0
12974.0,198,2,408.95,104,27,204.475,0
12975.0,437,6,2100.09,911,92,350.01500000000004,1
12976.0,212,8,3156.38,2684,106,394.5475,1
12977.0,156,4,513.88,128,54,128.47,0
12978.0,385,5,2502.82,1394,126,500.564,1
12980.0,158,21,16245.78,1910,7,773.6085714285715,1
12981.0,30,2,372.22,242,12,186.11,0
12982.0,243,8,2744.81,1729,139,343.10125,1
12983.0,598,1,490.08,638,30,490.08,0
12984.0,19,1,97.5,26,4,97.5,0
12985.0,1,2,1239.38,1533,73,619.69,1
12986.0,429,10,2729.84,1164,61,272.98400000000004,1
12987.0,74,5,1312.21,585,61,262.442,1
12988.0,292,1,505.82,126,75,505.82,0
12989.0,3,33,13551.75,6935,50,410.6590909090909,1
12990.0,31,7,955.5,480,9,136.5,0
12991.0,23,3,764.82,483,45,254.94000000000003,1
12992.0,725,1,93.35,21,6,93.35,0
12993.0,23,8,1259.63,751,57,157.45375,1
12994.0,4,3,974.42,459,52,324.8066666666667,1
12995.0,85,1,211.32,108,3,211.32,0
12996.0,376,1,355.5,122,22,355.5,0
12997.0,22,8,2110.91,1186,65,263.86375,1
12998.0,493,3,920.08,1124,58,306.6933333333333,0
12999.0,196,3,455.88,342,25,151.96,0
13000.0,107,4,1032.5,548,57,258.125,1
13001.0,4,33,24042.65,13448,300,728.5651515151516,1
13002.0,318,3,414.13,201,19,138.04333333333332,0
13003.0,106,3,149.05,103,4,49.68333333333334,0
13004.0,12,36,11650.85,8768,417,323.63472222222225,1
13005.0,174,4,999.68,462,41,249.92,1
13006.0,56,1,81.57,55,4,81.57,0
13007.0,580,1,175.25,59,11,175.25,0
13008.0,323,3,612.13,379,31,204.0433333333333,0
13009.0,673,1,234.0,120,4,234.0,0
13010.0,374,2,330.12,323,10,165.06,0
13011.0,372,1,50.55,13,3,50.55,0
13012.0,9,11,2957.83,1559,95,268.89363636363635,1
13013.0,1,29,11097.43,5661,289,382.67,1
13014.0,11,11,5381.08,1979,140,489.1890909090909,1
13015.0,53,11,6579.78,3527,260,598.1618181818181,1
13016.0,73,3,789.89,527,39,263.2966666666667,1
13017.0,7,1,204.0,48,1,204.0,0
13018.0,16,35,9763.16,6746,401,278.9474285714286,1
13019.0,379,6,1229.95,397,46,204.99166666666667,0
13020.0,563,2,618.96,278,38,309.48,0
13021.0,4,17,4887.24,2546,166,287.48470588235296,1
13023.0,64,3,1449.03,585,69,483.01,1
13024.0,471,2,555.87,181,26,277.935,0
13025.0,732,1,323.39,241,13,323.39,0
13026.0,1,9,1733.08,2466,52,192.56444444444443,1
13027.0,114,19,17239.2,42840,7,907.3263157894736,1
13028.0,23,2,661.3199999999999,798,40,330.66,1
13029.0,31,5,1927.3,194,13,385.46,1
13030.0,11,2,752.4399999999999,348,76,376.22,1
13031.0,407,5,3292.84,2309,275,658.568,1
13032.0,52,9,2815.96,1274,147,312.88444444444445,1
13033.0,357,2,220.55,98,12,110.275,0
13034.0,55,3,756.82,406,42,252.2733333333333,1
13035.0,74,3,1364.2,926,27,454.73333333333335,1
13036.0,685,1,307.1,38,6,307.1,0
13037.0,138,12,3914.95,2130,181,326.24583333333334,1
13038.0,80,3,908.46,360,24,302.82,0
13039.0,584,4,1010.73,290,37,252.6825,0
13040.0,9,2,676.99,355,38,338.495,0
13041.0,451,4,799.13,335,23,199.7825,0
13042.0,598,3,1488.59,812,164,496.19666666666666,1
13043.0,273,1,516.42,254,13,516.42,0
13044.0,291,11,4848.05,2548,356,440.7318181818182,1
13045.0,99,3,808.92,405,41,269.64,0
13046.0,31,3,949.25,505,50,316.4166666666667,1
13047.0,32,24,8428.53,3328,190,351.18875,1
13048.0,14,9,4049.13,2661,125,449.90333333333336,1
13049.0,64,4,1408.24,620,19,352.06,1
13050.0,15,35,11986.52,7015,513,342.47200000000004,1
13051.0,579,2,155.8,72,4,77.9,0
13052.0,212,7,3119.33,1424,161,445.6185714285714,1
13053.0,622,1,127.65,47,17,127.65,0
13055.0,78,4,2321.11,1821,145,580.2775,1
13056.0,551,1,209.48,158,18,209.48,0
13057.0,530,3,709.59,456,34,236.53,0
13058.0,25,3,271.40000000000003,52,5,90.46666666666668,0
13059.0,250,10,2291.77,860,155,229.177,1
13060.0,254,1,307.53,123,15,307.53,0
13061.0,72,1,248.61,107,10,248.61,0
13062.0,191,1,346.98,343,11,346.98,0
13063.0,481,1,188.4,116,12,188.4,0
13064.0,13,6,1666.84,668,58,277.8066666666667,1
13065.0,373,5,1055.05,381,49,211.01,0
13066.0,24,2,470.8,322,48,235.4,0
13067.0,82,3,508.51,131,24,169.50333333333333,0
13068.0,10,2,344.0,200,1,172.0,0
13069.0,1,38,9284.45,15171,573,244.32763157894735,1
13070.0,192,4,751.7,372,12,187.925,0
13071.0,612,1,129.22,30,12,129.22,0
13072.0,267,1,177.15,69,7,177.15,0
13073.0,411,2,418.08,261,25,209.04,0
13074.0,511,4,1378.74,826,26,344.685,0
13075.0,130,1,919.61,485,22,919.61,0
13076.0,458,1,135.4,44,9,135.4,0
13077.0,1,11,2740.65,2468,208,249.15,1
13078.0,3,57,29018.06,12032,153,509.0887719298246,1
13079.0,4,6,419.18,158,11,69.86333333333333,0
13080.0,179,4,280.73,193,17,70.1825,0
13081.0,12,28,56838.37,40077,738,2029.9417857142855,1
13082.0,126,21,7335.75,8466,99,349.32142857142856,1
13083.0,4,3,395.43,307,19,131.81,0
13084.0,492,1,122.4,144,2,122.4,0
13085.0,158,8,2433.28,944,50,304.16,1
13086.0,383,1,439.33,155,47,439.33,0
13087.0,726,1,313.64,86,15,313.64,0
13088.0,417,1,236.11,76,19,236.11,0
13089.0,3,203,113416.91,58932,857,558.7039901477833,1
13090.0,9,24,13091.74,3247,163,545.4891666666666,1
13091.0,28,3,2321.82,1339,41,773.94,1
13092.0,71,12,2140.28,664,52,178.35666666666668,1
13093.0,276,55,54144.25,25971,199,984.4409090909091,1
13094.0,21,13,2209.44,1896,5,169.9569230769231,1
13095.0,71,1,74.39999999999999,144,6,74.39999999999999,0
13096.0,394,1,419.7000000000001,6,1,419.7000000000001,0
13097.0,33,28,13324.1,5345,390,475.8607142857143,1
13098.0,1,28,28882.44,15968,156,1031.5157142857142,1
13099.0,99,1,207.36,288,1,207.36,0
13101.0,234,4,695.4,478,48,173.85,0
13102.0,1,37,11380.1,6366,212,307.57027027027027,1
13103.0,40,3,709.64,426,27,236.54666666666665,0
13104.0,3,9,1709.1,834,15,189.9,1
13105.0,436,1,72.0,100,1,72.0,0
13106.0,133,2,603.46,231,15,301.73,0
13107.0,44,9,5253.07,4316,142,583.6744444444444,1
13108.0,373,2,748.46,745,27,374.23,0
13109.0,60,3,1134.03,757,57,378.01,1
13110.0,31,12,2957.4700000000003,763,167,246.45583333333332,1
13111.0,719,1,321.88000000000005,180,12,321.88000000000005,0
13112.0,541,1,20.6,11,2,20.6,0
13113.0,1,37,18230.07,4435,166,492.7045945945946,1
13114.0,731,1,234.38,74,16,234.38,0
13115.0,12,10,5494.7,3934,178,549.47,1
13116.0,138,1,501.14,291,30,501.14,0
13117.0,22,18,2255.66,1852,122,125.31444444444443,1
13118.0,20,9,2415.41,834,111,268.37888888888887,1
13119.0,669,1,134.9,110,11,134.9,0
13120.0,239,1,30.6,12,1,30.6,0
13121.0,269,1,283.73,252,50,283.73,0
13122.0,94,2,922.39,585,54,461.195,1
13123.0,473,2,506.75,268,36,253.375,0
13124.0,90,4,4641.66,2738,216,1160.415,1
13125.0,524,1,148.62,53,20,148.62,0
13126.0,5,13,3774.81,3289,183,290.37,1
13127.0,78,1,259.17,127,15,259.17,0
13128.0,631,1,263.5,31,1,263.5,0
13129.0,452,2,233.25,296,10,116.625,0
13130.0,94,1,64.0,32,2,64.0,0
13131.0,23,7,3313.77,1523,107,473.3957142857143,1
13132.0,262,1,77.3,20,3,77.3,0
13133.0,274,3,200.45,55,12,66.81666666666668,0
13134.0,86,6,2475.23,1364,110,412.53833333333336,1
13135.0,197,2,3371.45,4423,18,1685.725,1
13136.0,56,13,6274.56,3109,204,482.6584615384616,1
13137.0,11,16,7586.94,4238,628,474.18375,1
13138.0,22,7,1274.01,593,41,182.00142857142856,1
13139.0,16,8,8202.98,4614,214,1025.3725,1
13140.0,108,5,1054.92,572,89,210.984,1
13141.0,85,17,7656.08,5159,285,450.3576470588236,1
13142.0,19,1,307.09,258,23,307.09,0
13143.0,585,1,405.1,198,23,405.1,0
13144.0,333,2,135.35,29,6,67.675,0
13145.0,40,7,1128.52,265,5,161.21714285714285,0
13146.0,26,1,228.91,154,16,228.91,0
13147.0,10,4,712.8000000000001,144,1,178.20000000000002,0
13148.0,29,26,8497.82,4487,451,326.8392307692308,1
13149.0,14,4,1676.06,1280,76,419.015,1
13150.0,484,3,449.97,171,7,149.98999999999998,0
13151.0,296,3,2465.21,813,131,821.7366666666667,1
13152.0,417,7,2146.38,977,114,306.6257142857143,1
13153.0,6,1,486.22,418,15,486.22,0
13154.0,399,3,1624.84,976,78,541.6133333333333,1
13155.0,33,6,1370.48,741,79,228.41333333333333,1
13156.0,385,3,1586.54,914,94,528.8466666666667,1
13157.0,49,9,5687.36,4762,173,631.9288888888889,1
13158.0,95,5,1508.18,992,70,301.636,1
13159.0,9,4,1429.35,1058,114,357.3375,1
13160.0,22,1,91.8,56,4,91.8,0
13161.0,313,2,472.13,105,30,236.065,0
13162.0,122,16,9275.49,5755,186,579.718125,1
13163.0,610,1,17.65,3,2,17.65,0
13164.0,569,2,372.2,120,7,186.1,0
13165.0,46,3,1451.16,1736,47,483.72,1
13166.0,283,2,875.93,522,55,437.965,0
13167.0,19,5,1125.15,1007,64,225.03000000000003,1
13168.0,36,5,1840.73,898,127,368.146,1
13169.0,64,3,840.08,296,16,280.0266666666667,0
13170.0,27,1,108.81,141,29,108.81,0
13171.0,22,3,468.41,229,37,156.13666666666668,0
13172.0,400,1,69.6,48,1,69.6,0
13173.0,4,11,2399.82,1481,160,218.16545454545457,1
13174.0,16,12,7995.36,3794,602,666.28,1
13175.0,582,2,831.45,423,40,415.725,0
13176.0,46,1,481.49,448,66,481.49,0
13177.0,65,2,512.2,180,23,256.1,0
13178.0,26,21,14059.19,8778,194,669.4852380952382,1
13179.0,619,1,572.3100000000001,368,34,572.3100000000001,0
13180.0,607,1,86.10000000000001,42,4,86.10000000000001,0
13181.0,381,1,359.69,171,19,359.69,0
13182.0,45,1,121.18,201,11,121.18,0
13183.0,8,15,7036.18,4027,64,469.07866666666666,1
13184.0,15,10,1668.95,1662,138,166.895,1
13185.0,268,1,71.4,12,1,71.4,0
13186.0,40,3,1575.89,820,69,525.2966666666667,1
13187.0,337,4,341.36,296,51,85.34,0
13188.0,11,1,114.6,25,2,114.6,0
13189.0,19,2,260.68,842,29,130.34,0
13190.0,544,3,570.66,308,16,190.22,0
13191.0,658,1,164.69,115,58,164.69,0
13192.0,95,6,2558.58,1629,135,426.43,1
13193.0,61,1,112.08,46,22,112.08,0
13194.0,136,2,472.78,326,10,236.39,0
13195.0,414,1,136.73,70,43,136.73,0
13196.0,11,7,3068.84,2006,141,438.4057142857143,1
13197.0,610,1,373.0100000000001,204,19,373.0100000000001,0
13198.0,10,8,4974.2300000000005,3449,265,621.7787500000001,1
13199.0,4,67,15964.21,11567,61,238.2717910447761,1
13200.0,19,4,870.09,516,42,217.5225,1
13201.0,502,4,1233.06,1036,65,308.265,1
13202.0,394,7,1580.3,572,55,225.75714285714284,1
13203.0,10,10,2648.25,2413,158,264.825,1
13204.0,731,1,966.66,428,57,966.66,0
13205.0,443,1,2803.2,256,1,2803.2,0
13206.0,400,13,8308.19,7086,393,639.0915384615384,1
13207.0,15,4,535.86,178,10,133.965,0
13208.0,59,9,1976.3,1343,198,219.58888888888887,1
13209.0,30,13,8509.51,5781,284,654.5776923076924,1
13210.0,94,1,353.48,316,22,353.48,0
13211.0,10,10,2618.77,1845,98,261.877,1
13212.0,20,3,786.83,309,128,262.2766666666667,1
13213.0,57,11,3851.52,2962,181,350.1381818181818,1
13214.0,418,7,3264.23,2966,207,466.3185714285714,1
13215.0,402,1,81.6,96,1,81.6,0
13216.0,268,1,333.74,297,5,333.74,0
13217.0,122,4,666.48,512,3,166.62,0
13218.0,127,1,62.63999999999999,88,5,62.63999999999999,0
13219.0,618,1,76.23,11,11,76.23,0
13220.0,78,5,1336.09,396,46,267.218,1
13221.0,240,2,847.41,244,62,423.705,0
13222.0,577,1,88.5,30,1,88.5,0
13223.0,200,6,969.12,568,8,161.52,0
13224.0,60,2,2155.95,1518,101,1077.975,1
13225.0,3,16,16260.07,7401,60,1016.254375,1
13226.0,273,2,312.46,179,28,156.23,0
13227.0,202,1,257.7,99,9,257.7,0
13228.0,81,1,358.0,200,2,358.0,0
13229.0,226,1,160.95,63,10,160.95,0
13230.0,4,30,6120.01,3520,653,204.00033333333332,1
13232.0,13,7,1328.35,773,147,189.7642857142857,1
13233.0,74,4,1176.46,1604,74,294.115,1
13234.0,673,2,346.5,159,56,173.25,0
13235.0,212,1,1031.07,441,53,1031.07,1
13236.0,24,2,744.85,416,34,372.425,0
13237.0,388,1,643.0,128,24,643.0,0
13238.0,17,6,1006.63,442,24,167.77166666666668,1
13239.0,262,5,1594.69,1151,86,318.938,1
13240.0,96,8,1475.79,709,160,184.47375,1
13241.0,412,1,112.53,46,40,112.53,0
13242.0,112,7,699.4,350,19,99.91428571428573,0
13243.0,203,5,1220.38,554,165,244.076,1
13244.0,93,1,121.74,38,27,121.74,0
13245.0,51,2,989.22,371,43,494.61,1
13246.0,18,11,3351.75,2796,229,304.70454545454544,1
13247.0,18,4,501.12,328,18,125.28,0
13248.0,125,2,465.68,305,25,232.84,0
13249.0,92,9,1608.93,1246,21,178.77,1
13250.0,461,2,253.09,107,17,126.545,0
13251.0,402,1,252.68,215,25,252.68,0
13252.0,394,2,399.3,134,19,199.65,0
13253.0,157,4,2951.11,3015,73,737.7775,1
13254.0,376,1,51.41,43,4,51.41,0
13255.0,9,3,678.76,407,26,226.25333333333333,0
13257.0,436,1,149.75,33,7,149.75,0
13258.0,12,5,1009.43,446,29,201.886,1
13259.0,62,9,1402.54,503,234,155.83777777777777,1
13260.0,61,1,557.62,142,8,557.62,0
13261.0,269,2,944.1,210,8,472.05,0
13262.0,263,3,573.45,247,48,191.15,0
13263.0,1,39,8676.2,5372,507,222.4666666666667,1
13264.0,443,1,722.5600000000001,375,38,722.5600000000001,0
13265.0,53,5,2092.66,1740,66,418.532,1
13266.0,11,19,6135.04,6837,154,322.89684210526315,1
13267.0,3,36,9429.81,3959,152,261.93916666666667,1
13268.0,18,11,3174.75,3624,257,288.6136363636364,1
13269.0,1,28,8537.32,6366,238,304.9042857142857,1
13270.0,366,1,590.0,200,1,590.0,0
13271.0,37,1,211.49,240,79,211.49,0
13272.0,31,2,276.56,96,15,138.28,0
13273.0,113,1,138.98,153,16,138.98,0
13274.0,409,1,360.85,199,19,360.85,0
13275.0,384,2,238.86,138,48,119.43,0
13276.0,64,5,1891.91,840,209,378.382,1
13277.0,16,7,523.3,382,10,74.75714285714285,0
13278.0,41,4,1435.85,1358,80,358.9625,1
13279.0,78,1,137.75,73,9,137.75,0
13280.0,122,7,2293.33,1489,159,327.61857142857144,1
13281.0,439,1,350.85,201,22,350.85,0
13282.0,18,4,1313.19,410,42,328.2975,1
13283.0,60,4,373.36,204,19,93.34,0
13284.0,331,1,201.19,91,13,201.19,0
13285.0,23,6,3364.59,2457,182,560.765,1
13286.0,600,1,734.91,274,46,734.91,0
13287.0,603,3,781.59,429,46,260.53000000000003,0
13288.0,443,5,927.61,379,7,185.522,0
13289.0,724,1,307.95,119,16,307.95,0
13290.0,438,1,208.63,1,1,208.63,0
13291.0,156,11,3270.79,1600,155,297.3445454545454,1
13292.0,39,5,994.51,530,55,198.902,1
13293.0,392,6,1192.94,555,51,198.82333333333332,1
13294.0,190,3,1689.53,996,93,563.1766666666666,1
13295.0,360,4,1101.97,733,56,275.4925,1
13296.0,137,6,792.51,653,50,132.085,1
13297.0,8,7,4368.62,2694,108,624.0885714285714,1
13298.0,1,1,360.0,96,2,360.0,0
13299.0,268,3,1218.7,416,56,406.23333333333335,1
13300.0,169,3,1285.51,455,44,428.5033333333333,1
13301.0,104,4,618.09,345,75,154.5225,0
13302.0,155,2,159.2,12,3,79.6,0
13303.0,400,1,61.72,26,4,61.72,0
13304.0,351,4,1217.99,716,59,304.4975,1
13305.0,4,16,3616.41,2228,153,226.025625,1
13306.0,430,1,53.65,74,4,53.65,0
13307.0,120,3,273.34,140,15,91.11333333333332,0
13308.0,23,4,1670.37,1073,65,417.5925,1
13309.0,7,6,1706.37,1914,95,284.39500000000004,1
13310.0,28,5,1541.2,816,80,308.24,1
13311.0,4,2,598.57,305,25,299.285,0
13312.0,451,1,124.75,41,5,124.75,0
13313.0,22,12,3445.32,2308,105,287.11,1
13314.0,2,3,775.94,560,55,258.6466666666667,1
13315.0,689,1,310.26,232,22,310.26,0
13316.0,37,10,12940.82,19931,115,1294.082,1
13317.0,66,19,6486.091,3149,222,341.3732105263158,1
13318.0,1,3,640.76,304,14,213.58666666666667,0
13319.0,5,58,21323.22,8974,345,367.6417241379311,1
13320.0,78,6,2211.6,1509,98,368.6,1
13321.0,72,2,567.36,372,10,283.68,0
13322.0,17,1,199.48,117,25,199.48,0
13323.0,3,5,787.85,175,6,157.57,0
13324.0,36,18,10513.47,8448,36,584.0816666666666,1
13325.0,82,1,675.3,240,12,675.3,0
13326.0,432,1,281.76,140,13,281.76,0
13327.0,39,20,9134.48,4203,175,456.724,1
13328.0,316,1,1308.48,680,17,1308.48,0
13329.0,32,8,4808.77,3311,68,601.09625,1
13330.0,93,6,2796.1,1951,80,466.01666666666665,1
13331.0,402,1,262.4,54,12,262.4,0
13332.0,14,1,350.9,179,21,350.9,0
13333.0,411,3,1015.74,685,54,338.58,0
13334.0,82,5,6201.8,3198,307,1240.36,1
13336.0,77,1,795.12,559,51,795.12,1
13337.0,546,1,1575.26,980,87,1575.26,1
13338.0,158,4,2445.62,1151,113,611.405,1
13339.0,201,1,860.12,326,54,860.12,0
13340.0,45,12,22100.56,9636,190,1841.7133333333331,1
13341.0,261,1,775.85,301,42,775.85,0
13343.0,178,1,353.43,135,19,353.43,0
13344.0,68,3,2511.69,952,115,837.23,1
13345.0,288,1,389.5,141,20,389.5,0
13346.0,463,6,299.4,180,4,49.9,0
13347.0,70,1,341.36,205,8,341.36,0
13348.0,64,1,233.76,136,14,233.76,0
13349.0,11,1,247.32,225,16,247.32,0
13350.0,16,2,979.12,287,36,489.56,1
13351.0,66,1,373.94,117,16,373.94,0
13352.0,60,1,397.98,321,24,397.98,0
13354.0,71,1,743.53,604,51,743.53,1
13355.0,122,1,674.7,314,32,674.7,0
13356.0,80,1,768.24,325,42,768.24,0
13357.0,257,5,3805.51,2112,284,761.102,1
13358.0,269,1,439.03,285,29,439.03,0
13359.0,64,2,1043.31,381,52,521.655,1
13360.0,432,4,1553.65,942,58,388.4125,1
13361.0,472,2,1450.5,324,29,725.25,0
13362.0,9,7,5394.07,2481,186,770.5814285714285,1
13363.0,18,3,1723.86,1146,78,574.62,1
13364.0,71,1,134.95999999999998,71,10,134.95999999999998,0
13365.0,34,2,2225.37,1247,122,1112.685,1
13366.0,50,1,56.16,144,1,56.16,0
13367.0,432,1,510.2000000000001,253,20,510.2000000000001,0
13368.0,257,4,1121.5,606,45,280.375,1
13369.0,366,1,308.28000000000003,149,14,308.28000000000003,0
13370.0,372,1,754.87,343,39,754.87,0
13371.0,505,2,2297.66,1019,75,1148.83,1
13372.0,90,1,378.64,159,23,378.64,0
